NATIONAL DATA BANK VERSION 8.2,,,,,,,,12/06/2022,,,,,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,,,,,
Jan 2022,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance,,,,
0108701 AL EBT MACON CO FS OFF,977,,"3,126",,"4,103",,538,,"1,888",,"2,426",,"1,038,211",,,,
0108902 AL EBT MADISON CO. FS OFF,"5,227",,"31,489",,"36,716",,"2,648",,"15,652",,"18,300",,"9,334,610",,,,
0109101 AL EBT MARENGO CO FS OFC,"1,175",,"3,551",,"4,726",,676,,"1,921",,"2,597",,"1,156,950",,,,
0109301 AL EBT MARION CO FS OFF,912,,"4,287",,"5,199",,478,,"2,135",,"2,613",,"1,266,799",,,,
0109501 AL EBT MARSHALL CO FS OFF,"1,933",,"11,434",,"13,367",,"1,050",,"5,278",,"6,328",,"3,444,951",,,,
0109701 AL EBT MOBILE CO FS OFF,"12,826",,"68,353",,"81,179",,"6,598",,"33,305",,"39,903",,"19,900,705",,,,
0109901 AL EBT MONROE CO FS OFF,790,,"2,977",,"3,767",,386,,"1,519",,"1,905",,"906,347",,,,
0110101 AL EBT MONTGOMERY CO FS OFF,"9,340",,"43,598",,"52,938",,"4,215",,"21,268",,"25,483",,"13,251,206",,,,
0110301 AL EBT MORGAN CO FS OFF,"2,465",,"13,626",,"16,091",,"1,259",,"6,362",,"7,621",,"4,072,936",,,,
0110501 AL EBT PERRY CO FS OFF,894,,"2,494",,"3,388",,478,,"1,407",,"1,885",,"832,916",,,,
0110701 AL EBT PICKENS CO FS OFF,868,,"2,681",,"3,549",,425,,"1,386",,"1,811",,"855,227",,,,
0110901 AL EBT PIKE CO FOOD STAMP OFC,"1,256",,"5,050",,"6,306",,679,,"2,675",,"3,354",,"1,570,605",,,,
0111101 AL EBT RANDOLPH CO FSO,867,,"4,011",,"4,878",,360,,"1,935",,"2,295",,"1,190,365",,,,
0111301 AL EBT RUSSELL CO FS OFF,"2,000",,"9,770",,"11,770",,890,,"4,602",,"5,492",,"2,874,063",,,,
