NATIONAL DATA BANK VERSION 8.2,,,,,,,,12/06/2022,,,,,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,,,,,
Jan 2022,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance,,,,
1719901 IL EBT WILLIAMSON,682,,"13,197",,"13,879",,299,,"7,049",,"7,348",,"3,400,292",,,,
1720101 IL EBT WINNEBAGO,"5,784",,"69,192",,"74,976",,"2,386",,"35,596",,"37,982",,"18,441,741",,,,
1720102 IL EBT ABE CALL CENTER,0,,7,,7,,0,,7,,7,,"2,415",,,,
1720103 IL EBT Stroger,0,,6,,6,,0,,6,,6,,"1,742",,,,
1720104 IL EBT MMU,0,,2,,2,,0,,2,,2,,587,,,,
1800101 IN EBT ADAMS CO DFC,170,,"1,580",,"1,750",,148,,659,,807,,"413,295",,,,
1800301 IN EBT ALLEN CO DFC,"3,402",,"34,688",,"38,090",,"2,886",,"13,293",,"16,179",,"9,232,646",,,,
1800501 IN EBT BARTHOLOMEW CO DFC,498,,"4,935",,"5,433",,456,,"2,132",,"2,588",,"1,335,606",,,,
1800701 IN EBT BENTON CO DFC,55,,762,,817,,50,,302,,352,,"199,710",,,,
1800901 IN EBT BLACKFORD CO DFC,123,,"1,317",,"1,440",,117,,557,,674,,"350,282",,,,
1801101 IN EBT BOONE CO DFC,177,,"1,843",,"2,020",,158,,855,,"1,013",,"500,448",,,,
1801301 IN EBT BROWN CO DFC,58,,629,,687,,53,,285,,338,,"168,637",,,,
1801501 IN EBT CARROLL CO DPW,88,,"1,085",,"1,173",,79,,453,,532,,"290,803",,,,
1801701 IN EBT CASS CO DPW,303,,"3,527",,"3,830",,268,,"1,464",,"1,732",,"935,510",,,,
1801901 IN EBT CLARK CO DPW,887,,"7,190",,"8,077",,804,,"3,187",,"3,991",,"2,005,167",,,,
1802101 IN EBT CLAY CO DPW,214,,"2,269",,"2,483",,197,,959,,"1,156",,"606,818",,,,
1802301 IN EBT CLINTON CO DFC,169,,"2,688",,"2,857",,141,,"1,065",,"1,206",,"693,041",,,,
1802501 IN EBT CRAWFORD CO DFC,111,,839,,950,,101,,321,,422,,"226,630",,,,
1802701 IN EBT DAVIESS CO DFC,174,,"2,053",,"2,227",,166,,867,,"1,033",,"553,027",,,,
1802901 IN EBT DEARBORN CO DFC,281,,"2,646",,"2,927",,250,,"1,170",,"1,420",,"725,993",,,,
1803101 IN EBT DECATUR CO DPW,151,,"1,778",,"1,929",,145,,764,,909,,"475,321",,,,
1803301 IN EBT DEKALB CO DPW,262,,"2,357",,"2,619",,246,,962,,"1,208",,"635,487",,,,
1803501 IN EBT DELAWARE CO DPW,"1,353",,"12,104",,"13,457",,"1,235",,"5,501",,"6,736",,"3,411,927",,,,
1803701 IN EBT DUBOIS CO DPW,167,,"1,418",,"1,585",,145,,601,,746,,"395,879",,,,
1803901 IN EBT ELKHART CO DPW,"1,055",,"12,265",,"13,320",,901,,"4,956",,"5,857",,"3,336,944",,,,
1804101 IN EBT FAYETTE CO DPW,447,,"3,430",,"3,877",,398,,"1,597",,"1,995",,"971,233",,,,
1804301 IN EBT FLOYD CO DPW,632,,"5,398",,"6,030",,546,,"2,352",,"2,898",,"1,503,086",,,,
1804501 IN EBT FOUNTAIN CO DPW,99,,"1,180",,"1,279",,96,,507,,603,,"313,725",,,,
1804701 IN EBT FRANKLIN CO DPW,120,,"1,199",,"1,319",,112,,505,,617,,"321,925",,,,
1804901 IN EBT FULTON CO DPW,144,,"1,625",,"1,769",,132,,622,,754,,"424,507",,,,
1805101 IN EBT GIBSON CO DPW,172,,"2,134",,"2,306",,155,,904,,"1,059",,"563,754",,,,
1805301 IN EBT GRANT CO DFC,955,,"8,775",,"9,730",,883,,"3,801",,"4,684",,"2,407,349",,,,
1805501 IN EBT GREENE CO DPW,280,,"2,746",,"3,026",,263,,"1,188",,"1,451",,"745,826",,,,
1805701 IN EBT HAMILTON CO DPW,546,,"7,481",,"8,027",,475,,"3,044",,"3,519",,"1,977,183",,,,
1805901 IN EBT HANCOCK CO DPW,245,,"3,070",,"3,315",,227,,"1,374",,"1,601",,"829,050",,,,
1806101 IN EBT HARRISON CO DPW,214,,"2,163",,"2,377",,194,,926,,"1,120",,"583,669",,,,
1806301 IN EBT HENDRICKS CO DPW,382,,"5,301",,"5,683",,344,,"2,275",,"2,619",,"1,401,214",,,,
1806501 IN EBT HENRY CO DPW,497,,"4,475",,"4,972",,460,,"2,062",,"2,522",,"1,243,972",,,,
1806701 IN EBT HOWARD CO DPW,"1,047",,"9,453",,"10,500",,920,,"4,059",,"4,979",,"2,642,171",,,,
1806901 IN EBT HUNTINGTON CO DPW,217,,"2,315",,"2,532",,200,,"1,046",,"1,246",,"621,233",,,,
1807101 IN EBT JACKSON CO DPW,333,,"3,034",,"3,367",,305,,"1,325",,"1,630",,"830,370",,,,
1807301 IN EBT JASPER CO DPW,198,,"2,401",,"2,599",,168,,967,,"1,135",,"630,096",,,,
1807501 IN EBT JAY CO DPW,141,,"1,537",,"1,678",,127,,684,,811,,"412,139",,,,
1807701 IN EBT JEFFERSON CO DPW,262,,"2,384",,"2,646",,234,,"1,074",,"1,308",,"660,729",,,,
1807901 IN EBT JENNINGS CO DPW,240,,"1,819",,"2,059",,225,,752,,977,,"499,203",,,,
1808101 IN EBT JOHNSON CO DPW,572,,"8,945",,"9,517",,513,,"3,605",,"4,118",,"2,335,172",,,,
1808301 IN EBT KNOX CO DPW,394,,"3,698",,"4,092",,345,,"1,591",,"1,936",,"1,021,168",,,,
1808501 IN EBT KOSCIUSKO CO DPW,272,,"3,957",,"4,229",,259,,"1,619",,"1,878",,"1,030,842",,,,
1808701 IN EBT LAGRANGE CO DPW,94,,"1,244",,"1,338",,83,,520,,603,,"331,288",,,,
1808901 IN EBT LAKE CO DPW,"5,841",,"57,001",,"62,842",,"4,973",,"24,353",,"29,326",,"15,736,625",,,,
1809101 IN EBT LA PORTE CO DPW,991,,"11,886",,"12,877",,893,,"4,956",,"5,849",,"3,166,179",,,,
1809301 IN EBT LAWRENCE CO DPW,395,,"3,163",,"3,558",,358,,"1,363",,"1,721",,"873,128",,,,
1809501 IN EBT MADISON CO DPW,"1,479",,"14,762",,"16,241",,"1,341",,"6,742",,"8,083",,"4,129,242",,,,
1809701 IN EBT MARION CO DPW,"11,350",,"127,423",,"138,773",,"9,700",,"55,005",,"64,705",,"35,129,567",,,,
1809901 IN EBT MARSHALL CO DPW,234,,"2,294",,"2,528",,222,,980,,"1,202",,"624,938",,,,
1810101 IN EBT MARTIN CO DPW,103,,866,,969,,91,,395,,486,,"190,396",,,,
1810301 IN EBT MIAMI CO DPW,296,,"3,590",,"3,886",,265,,"1,435",,"1,700",,"946,744",,,,
1810501 IN EBT MONROE COUNTY DPW,769,,"6,801",,"7,570",,690,,"3,319",,"4,009",,"1,928,262",,,,
1810701 IN EBT MONTGOMERY COUNTY DFC,273,,"2,786",,"3,059",,236,,"1,211",,"1,447",,"759,626",,,,
1810901 IN EBT MORGAN CO DPW,431,,"4,552",,"4,983",,406,,"2,036",,"2,442",,"1,236,838",,,,
1811101 IN EBT NEWTON CO DPW,76,,"1,193",,"1,269",,67,,488,,555,,"305,719",,,,
1811301 IN EBT NOBLE CO DPW,228,,"1,995",,"2,223",,205,,847,,"1,052",,"540,871",,,,
1811501 IN EBT OHIO CO DPW,35,,277,,312,,31,,127,,158,,"75,925",,,,
1811701 IN EBT ORANGE CO DPW,199,,"1,687",,"1,886",,171,,739,,910,,"468,333",,,,
1811901 IN EBT OWEN CO DPW,165,,"1,822",,"1,987",,154,,767,,921,,"488,294",,,,
1812101 IN EBT PARKE CO DPW,129,,"1,473",,"1,602",,111,,609,,720,,"373,964",,,,
1812301 IN EBT PERRY CO DPW,143,,"1,349",,"1,492",,126,,593,,719,,"369,271",,,,
1812501 IN EBT PIKE CO DPW,110,,"1,047",,"1,157",,95,,450,,545,,"260,673",,,,
1812701 IN EBT PORTER CO DPW,817,,"8,481",,"9,298",,742,,"3,788",,"4,530",,"2,357,604",,,,
1812901 IN EBT POSEY CO DPW,178,,"1,587",,"1,765",,145,,706,,851,,"444,790",,,,
1813101 IN EBT PULASKI CO DFC,91,,906,,997,,84,,379,,463,,"245,390",,,,
1813301 IN EBT PUTNAM CO DPW,177,,"2,302",,"2,479",,165,,988,,"1,153",,"610,093",,,,
1813501 IN EBT RANDOLPH CO DPW,172,,"2,346",,"2,518",,161,,958,,"1,119",,"619,474",,,,
1813701 IN EBT RIPLEY CO DPW,183,,"1,636",,"1,819",,157,,686,,843,,"439,361",,,,
1813901 IN EBT RUSH CO DPW,130,,"1,286",,"1,416",,119,,539,,658,,"345,280",,,,
1814101 IN EBT ST JOSEPH CO DPW,"2,162",,"25,792",,"27,954",,"1,956",,"10,688",,"12,644",,"6,975,297",,,,
1814301 IN EBT SCOTT CO DPW,311,,"2,537",,"2,848",,292,,"1,142",,"1,434",,"712,926",,,,
1814501 IN EBT SHELBY CO DPW,289,,"3,216",,"3,505",,259,,"1,483",,"1,742",,"858,581",,,,
1814701 IN EBT SPENCER CO DPW,92,,"1,111",,"1,203",,83,,500,,583,,"297,025",,,,
1814901 IN EBT STARKE CO DPW,240,,"2,365",,"2,605",,212,,"1,008",,"1,220",,"632,620",,,,
1815101 IN EBT STEUBEN CO DPW,188,,"1,623",,"1,811",,167,,697,,864,,"436,285",,,,
1815301 IN EBT SULLIVAN CO DPW,201,,"1,753",,"1,954",,167,,770,,937,,"484,719",,,,
1815501 IN EBT SWITZERLAND CO DPW,90,,966,,"1,056",,78,,389,,467,,"250,653",,,,
1815701 IN EBT TIPPECANOE CO DPW,999,,"13,022",,"14,021",,883,,"5,494",,"6,377",,"3,476,818",,,,
1815901 IN EBT TIPTON CO DPW,56,,747,,803,,52,,304,,356,,"197,165",,,,
1816101 IN EBT UNION CO DPW,56,,509,,565,,49,,226,,275,,"136,475",,,,
1816301 IN EBT VANDERBURGH CO DPW,"1,918",,"16,855",,"18,773",,"1,712",,"7,743",,"9,455",,"4,762,346",,,,
1816501 IN EBT VERMILLION CO DPW,146,,"1,433",,"1,579",,119,,628,,747,,"382,950",,,,
1816701 IN EBT VIGO CO DPW,"1,334",,"12,704",,"14,038",,"1,176",,"5,432",,"6,608",,"3,493,929",,,,
1816901 IN EBT WABASH CO DPW,207,,"2,002",,"2,209",,185,,872,,"1,057",,"540,782",,,,
1817101 IN EBT WARREN CO DPW,41,,383,,424,,39,,161,,200,,"103,476",,,,
1817301 IN EBT WARRICK CO DPW,218,,"2,131",,"2,349",,193,,932,,"1,125",,"581,384",,,,
1817501 IN EBT WASHINGTON CO DPW,243,,"1,798",,"2,041",,226,,763,,989,,"496,058",,,,
1817701 IN EBT WAYNE CO DPW,"1,048",,"7,781",,"8,829",,924,,"3,577",,"4,501",,"2,212,571",,,,
1817901 IN EBT WELLS CO DPW,150,,"1,360",,"1,510",,134,,595,,729,,"363,005",,,,
1818101 IN EBT WHITE CO DPW,123,,"1,575",,"1,698",,112,,635,,747,,"411,984",,,,
1818301 IN EBT WHITLEY CO DPW,108,,"1,168",,"1,276",,108,,543,,651,,"312,205",,,,
1900101 IA EBT ADAIR CO DHS,70,,401,,471,,48,,206,,254,,"116,923",,,,
1900301 IA EBT ADAMS CO DHS,39,,251,,290,,32,,115,,147,,"72,654",,,,
1900501 IA EBT ALLAMAKEE CO DHS,71,,895,,966,,59,,355,,414,,"226,569",,,,
1900701 IA EBT APPANOOSE CO DHS,225,,"1,334",,"1,559",,182,,637,,819,,"381,430",,,,
1900901 IA EBT AUDUBON CO DHS,51,,391,,442,,33,,185,,218,,"105,080",,,,
1901101 IA EBT BENTON CO DHS,192,,"1,460",,"1,652",,159,,681,,840,,"402,046",,,,
1901301 IA EBT BLACK HAWK CO DHS,"2,687",,"12,687",,"15,374",,"1,828",,"6,053",,"7,881",,"3,784,658",,,,
1901501 IA EBT BOONE CO DHS,158,,"1,409",,"1,567",,136,,660,,796,,"380,381",,,,
1901701 IA EBT BREMER CO DHS,132,,936,,"1,068",,98,,420,,518,,"255,339",,,,
1901901 IA EBT BUCHANAN CO DHS,190,,"1,063",,"1,253",,151,,513,,664,,"308,036",,,,
1902101 IA EBT BUENA VISTA CO DHS,150,,"1,449",,"1,599",,109,,562,,671,,"375,061",,,,
1902301 IA EBT BUTLER CO DHS,112,,763,,875,,82,,336,,418,,"207,799",,,,
1902501 IA EBT CALHOUN CO DHS,97,,534,,631,,68,,252,,320,,"150,739",,,,
1902701 IA EBT CARROLL CO DHS,160,,"1,164",,"1,324",,118,,546,,664,,"320,840",,,,
1902901 IA EBT CASS CO DHS,153,,"1,242",,"1,395",,128,,563,,691,,"333,898",,,,
1903101 IA EBT CEDAR CO DHS,66,,803,,869,,59,,354,,413,,"207,623",,,,
1903301 IA EBT CERRO GORDO CO DHS,531,,"3,591",,"4,122",,396,,"1,789",,"2,185",,"1,029,060",,,,
1903501 IA EBT CHEROKEE CO DHS,64,,602,,666,,59,,273,,332,,"161,513",,,,
1903701 IA EBT CHICKASAW CO DHS,68,,516,,584,,53,,224,,277,,"140,514",,,,
1903901 IA EBT CLARKE CO DHS,112,,820,,932,,77,,362,,439,,"222,340",,,,
1904101 IA EBT CLAY CO DHS,137,,"1,168",,"1,305",,105,,554,,659,,"317,029",,,,
1904301 IA EBT CLAYTON CO DHS,126,,839,,965,,100,,394,,494,,"229,261",,,,
1904501 IA EBT CLINTON CO DHS,844,,"5,117",,"5,961",,630,,"2,411",,"3,041",,"1,465,717",,,,
1904701 IA EBT CRAWFORD CO DHS,110,,"1,141",,"1,251",,89,,485,,574,,"302,827",,,,
1904901 IA EBT DALLAS CO DHS,219,,"2,730",,"2,949",,181,,"1,173",,"1,354",,"714,476",,,,
1905101 IA EBT DAVIS CO DHS,52,,444,,496,,44,,198,,242,,"120,814",,,,
1905301 IA EBT DECATUR CO DHS,99,,689,,788,,82,,338,,420,,"197,380",,,,
1905501 IA EBT DELAWARE CO DHS,140,,786,,926,,109,,362,,471,,"226,767",,,,
1905701 IA EBT DES MOINES CO DHS,767,,"4,887",,"5,654",,553,,"2,231",,"2,784",,"1,380,409",,,,
1905901 IA EBT DICKINSON CO DHS,115,,821,,936,,94,,409,,503,,"227,649",,,,
1906101 IA EBT DUBUQUE CO DHS,"1,082",,"6,940",,"8,022",,775,,"3,158",,"3,933",,"1,957,159",,,,
1906301 IA EBT EMMET CO DHS,64,,597,,661,,50,,283,,333,,"159,288",,,,
1906501 IA EBT FAYETTE CO DHS,311,,"1,812",,"2,123",,245,,829,,"1,074",,"509,566",,,,
1906701 IA EBT FLOYD CO DHS,150,,"1,453",,"1,603",,117,,654,,771,,"384,016",,,,
1906901 IA EBT FRANKLIN CO DHS,64,,719,,783,,54,,316,,370,,"189,439",,,,
1907101 IA EBT FREMONT CO DHS,71,,602,,673,,50,,272,,322,,"164,325",,,,
1907301 IA EBT GREENE CO DHS,93,,840,,933,,73,,367,,440,,"226,365",,,,
1907501 IA EBT GRUNDY CO DHS,46,,486,,532,,32,,206,,238,,"126,559",,,,
1907701 IA EBT GUTHRIE CO DHS,74,,700,,774,,44,,314,,358,,"184,889",,,,
1907901 IA EBT HAMILTON CO DHS,99,,834,,933,,81,,394,,475,,"231,089",,,,
1908101 IA EBT HANCOCK CO DHS,49,,540,,589,,36,,254,,290,,"141,961",,,,
1908301 IA EBT HARDIN CO DHS,169,,"1,350",,"1,519",,107,,604,,711,,"365,437",,,,
1908501 IA EBT HARRISON CO DHS,148,,"1,016",,"1,164",,121,,463,,584,,"279,810",,,,
1908701 IA EBT HENRY CO DHS,207,,"1,766",,"1,973",,152,,812,,964,,"474,380",,,,
1908901 IA EBT HOWARD CO DHS,57,,483,,540,,45,,223,,268,,"128,999",,,,
1909101 IA EBT HUMBOLDT CO DHS,62,,590,,652,,49,,270,,319,,"156,653",,,,
1909301 IA EBT IDA CO DHS,33,,460,,493,,28,,188,,216,,"115,486",,,,
1909501 IA EBT IOWA CO DHS,81,,767,,848,,69,,356,,425,,"209,543",,,,
1909701 IA EBT JACKSON CO DHS,206,,"1,364",,"1,570",,145,,645,,790,,"381,066",,,,
1909901 IA EBT JASPER CO DHS,390,,"2,756",,"3,146",,309,,"1,308",,"1,617",,"782,926",,,,
1910101 IA EBT JEFFERSON CO DHS,285,,"1,372",,"1,657",,217,,732,,949,,"412,253",,,,
1910301 IA EBT JOHNSON CO DHS,"1,204",,"8,626",,"9,830",,886,,"3,793",,"4,679",,"2,404,140",,,,
1910501 IA EBT JONES CO DHS,168,,"1,178",,"1,346",,126,,547,,673,,"329,664",,,,
1910701 IA EBT KEOKUK CO DHS,118,,949,,"1,067",,89,,392,,481,,"255,351",,,,
1910901 IA EBT KOSSUTH CO DHS,92,,797,,889,,73,,384,,457,,"220,784",,,,
1911102 IA EBT LEE CO DHS,643,,"4,027",,"4,670",,467,,"1,872",,"2,339",,"1,133,729",,,,
1911301 IA EBT LINN CO DHS,"2,670",,"18,770",,"21,440",,"2,011",,"8,639",,"10,650",,"5,275,986",,,,
1911501 IA EBT LOUISA CO DHS,95,,707,,802,,74,,296,,370,,"190,230",,,,
1911701 IA EBT LUCAS CO DHS,102,,785,,887,,85,,324,,409,,"206,387",,,,
1911901 IA EBT LYON CO DHS,18,,423,,441,,17,,170,,187,,"103,120",,,,
1912101 IA EBT MADISON CO DHS,58,,659,,717,,52,,324,,376,,"175,206",,,,
1912301 IA EBT MAHASKA CO DHS,243,,"1,829",,"2,072",,194,,881,,"1,075",,"511,666",,,,
1912501 IA EBT MARION CO DHS,231,,"1,767",,"1,998",,185,,805,,990,,"489,307",,,,
1912701 IA EBT MARSHALL CO DHS,422,,"3,570",,"3,992",,302,,"1,513",,"1,815",,"961,884",,,,
1912901 IA EBT MILLS CO DHS,95,,859,,954,,69,,380,,449,,"229,131",,,,
1913101 IA EBT MITCHELL CO DHS,65,,456,,521,,48,,205,,253,,"129,909",,,,
1913301 IA EBT MONONA CO DHS,73,,728,,801,,66,,307,,373,,"189,512",,,,
1913501 IA EBT MONROE CO DHS,70,,571,,641,,44,,263,,307,,"154,615",,,,
1913701 IA EBT MONTGOMERY CO DHS,163,,"1,126",,"1,289",,125,,508,,633,,"308,286",,,,
1913901 IA EBT MUSCATINE CO DHS,628,,"4,133",,"4,761",,454,,"1,909",,"2,363",,"1,159,613",,,,
1914101 IA EBT O BRIEN CO DHS,83,,719,,802,,65,,346,,411,,"196,192",,,,
1914301 IA EBT OSCEOLA CO DHS,28,,348,,376,,25,,159,,184,,"90,605",,,,
1914501 IA EBT PAGE CO DHS,199,,"1,314",,"1,513",,158,,590,,748,,"365,487",,,,
1914701 IA EBT PALO ALTO CO DHS,68,,513,,581,,49,,246,,295,,"140,751",,,,
1914901 IA EBT PLYMOUTH CO DHS,109,,929,,"1,038",,86,,434,,520,,"249,915",,,,
1915101 IA EBT POCAHONTAS CO DHS,64,,533,,597,,45,,223,,268,,"141,371",,,,
1915301 IA EBT POLK CO DHS,"6,323",,"47,760",,"54,083",,"4,635",,"21,528",,"26,163",,"13,307,080",,,,
1915501 IA EBT POTTAWATTAMIE CO DHS,"1,501",,"9,930",,"11,431",,"1,129",,"4,842",,"5,971",,"2,842,902",,,,
1915701 IA EBT POWESHIEK CO DHS,170,,927,,"1,097",,124,,457,,581,,"269,061",,,,
1915901 IA EBT RINGGOLD CO DHS,56,,318,,374,,49,,155,,204,,"91,489",,,,
1916101 IA EBT SAC CO DHS,55,,488,,543,,47,,224,,271,,"133,771",,,,
1916301 IA EBT SCOTT CO DHS,"3,105",,"18,550",,"21,655",,"2,168",,"8,623",,"10,791",,"5,352,967",,,,
1916501 IA EBT SHELBY CO DHS,84,,748,,832,,68,,322,,390,,"202,468",,,,
1916701 IA EBT SIOUX CO DHS,73,,"1,011",,"1,084",,62,,419,,481,,"255,681",,,,
1916901 IA EBT STORY CO DHS,484,,"3,623",,"4,107",,340,,"1,759",,"2,099",,"1,020,000",,,,
1917101 IA EBT TAMA CO DHS,108,,"1,177",,"1,285",,83,,534,,617,,"312,966",,,,
1917301 IA EBT TAYLOR CO DHS,72,,525,,597,,52,,225,,277,,"145,217",,,,
1917501 IA EBT UNION CO DHS,166,,"1,196",,"1,362",,131,,601,,732,,"339,019",,,,
1917701 IA EBT VAN BUREN CO DHS,63,,589,,652,,52,,255,,307,,"154,074",,,,
1917901 IA EBT WAPELLO CO DHS,776,,"4,290",,"5,066",,582,,"2,063",,"2,645",,"1,257,916",,,,
1918101 IA EBT WARREN CO DHS,233,,"1,980",,"2,213",,172,,916,,"1,088",,"542,160",,,,
1918301 IA EBT WASHINGTON CO DHS,183,,"1,321",,"1,504",,146,,587,,733,,"363,644",,,,
1918501 IA EBT WAYNE CO DHS,73,,489,,562,,57,,214,,271,,"132,264",,,,
1918701 IA EBT WEBSTER CO DHS,603,,"3,827",,"4,430",,425,,"1,886",,"2,311",,"1,094,917",,,,
1918901 IA EBT WINNEBAGO CO DHS,64,,558,,622,,47,,271,,318,,"152,840",,,,
1919101 IA EBT WINNESHIEK CO DHS,74,,679,,753,,66,,319,,385,,"180,074",,,,
1919301 IA EBT WOODBURY CO DHS,"1,505",,"11,152",,"12,657",,982,,"4,837",,"5,819",,"3,081,049",,,,
1919501 IA EBT WORTH CO DHS,55,,461,,516,,41,,201,,242,,"122,093",,,,
1919701 IA EBT WRIGHT CO DHS,86,,971,,"1,057",,66,,441,,507,,"257,241",,,,
2000101 KS EBT ALLEN,210,,"1,234",,"1,444",,178,,559,,737,,"214,316",,,,
2000301 KS EBT ANDERSON,54,,422,,476,,50,,186,,236,,"62,709",,,,
2000501 KS EBT ATCHISON,149,,"1,183",,"1,332",,127,,519,,646,,"204,310",,,,
2000701 KS EBT BARBER,32,,186,,218,,27,,78,,105,,"28,962",,,,
2000901 KS EBT BARTON,375,,"1,769",,"2,144",,309,,798,,"1,107",,"326,252",,,,
2001101 KS EBT BOURBON,255,,"1,654",,"1,909",,203,,663,,866,,"290,455",,,,
2001301 KS EBT BROWN,114,,730,,844,,104,,317,,421,,"117,246",,,,
2001501 KS EBT BUTLER,485,,"3,592",,"4,077",,394,,"1,560",,"1,954",,"632,283",,,,
2001701 KS EBT CHASE,16,,106,,122,,12,,47,,59,,"15,411",,,,
2001901 KS EBT CHAUTAUQUA,72,,347,,419,,53,,141,,194,,"58,022",,,,
2002101 KS EBT CHEROKEE,330,,"1,993",,"2,323",,280,,856,,"1,136",,"342,313",,,,
2002301 KS EBT CHEYENNE,12,,67,,79,,8,,35,,43,,"11,354",,,,
2002501 KS EBT CLARK,19,,87,,106,,11,,32,,43,,"17,480",,,,
2002701 KS EBT CLAY,44,,316,,360,,39,,144,,183,,"52,462",,,,
2002901 KS EBT CLOUD,91,,591,,682,,81,,226,,307,,"97,979",,,,
2003101 KS EBT COFFEY,97,,519,,616,,77,,224,,301,,"91,625",,,,
2003301 KS EBT COMANCHE,12,,49,,61,,12,,25,,37,,"8,925",,,,
2003501 KS EBT COWLEY,510,,"3,562",,"4,072",,420,,"1,558",,"1,978",,"635,518",,,,
2003701 KS EBT CRAWFORD,653,,"3,693",,"4,346",,569,,"1,667",,"2,236",,"656,514",,,,
2003901 KS EBT DECATUR,24,,134,,158,,21,,61,,82,,"21,350",,,,
2004101 KS EBT DICKINSON,128,,988,,"1,116",,113,,409,,522,,"161,171",,,,
2004301 KS EBT DONIPHAN,34,,432,,466,,28,,191,,219,,"68,997",,,,
2004501 KS EBT DOUGLAS,732,,"4,313",,"5,045",,651,,"2,064",,"2,715",,"815,382",,,,
2004701 KS EBT EDWARDS,21,,159,,180,,19,,66,,85,,"27,009",,,,
2004901 KS EBT ELK,31,,182,,213,,26,,92,,118,,"30,403",,,,
2005101 KS EBT ELLIS,163,,967,,"1,130",,151,,457,,608,,"163,922",,,,
2005301 KS EBT ELLSWORTH,26,,226,,252,,22,,100,,122,,"36,951",,,,
2005501 KS EBT FINNEY,318,,"2,156",,"2,474",,255,,868,,"1,123",,"374,423",,,,
2005701 KS EBT FORD,233,,"1,639",,"1,872",,186,,704,,890,,"303,928",,,,
2005901 KS EBT FRANKLIN,278,,"1,492",,"1,770",,249,,710,,959,,"266,558",,,,
2006101 KS EBT GEARY,302,,"2,428",,"2,730",,241,,"1,038",,"1,279",,"422,435",,,,
2006301 KS EBT GOVE,12,,37,,49,,5,,17,,22,,"6,217",,,,
2006501 KS EBT GRAHAM,17,,127,,144,,16,,61,,77,,"20,532",,,,
2006701 KS EBT GRANT,44,,379,,423,,27,,123,,150,,"64,585",,,,
2006901 KS EBT GRAY,15,,125,,140,,11,,46,,57,,"18,910",,,,
2007101 KS EBT GREELEY,0,,54,,54,,0,,19,,19,,"6,735",,,,
2007301 KS EBT GREENWOOD,98,,471,,569,,85,,210,,295,,"80,555",,,,
2007501 KS EBT HAMILTON,16,,85,,101,,13,,34,,47,,"17,494",,,,
2007701 KS EBT HARPER,60,,378,,438,,46,,168,,214,,"67,059",,,,
2007901 KS EBT HARVEY,309,,"1,863",,"2,172",,261,,888,,"1,149",,"335,987",,,,
2008101 KS EBT HASKELL,17,,117,,134,,12,,45,,57,,"19,214",,,,
2008301 KS EBT HODGEMAN,5,,60,,65,,5,,21,,26,,"9,376",,,,
2008501 KS EBT JACKSON,97,,598,,695,,81,,256,,337,,"106,487",,,,
2008701 KS EBT JEFFERSON,80,,651,,731,,74,,275,,349,,"112,722",,,,
2008901 KS EBT JEWELL,23,,149,,172,,19,,55,,74,,"24,517",,,,
2009101 KS EBT JOHNSON,"1,875",,"10,357",,"12,232",,"1,552",,"4,719",,"6,271",,"2,008,463",,,,
2009301 KS EBT KEARNY,11,,161,,172,,10,,61,,71,,"27,565",,,,
2009501 KS EBT KINGMAN,49,,313,,362,,39,,123,,162,,"49,177",,,,
2009701 KS EBT KIOWA,21,,109,,130,,19,,47,,66,,"18,046",,,,
2009901 KS EBT LABETTE,390,,"2,002",,"2,392",,351,,894,,"1,245",,"351,059",,,,
2010101 KS EBT LANE,9,,74,,83,,9,,33,,42,,"12,189",,,,
2010301 KS EBT LEAVENWORTH,453,,"3,034",,"3,487",,345,,"1,301",,"1,646",,"561,563",,,,
2010501 KS EBT LINCOLN,24,,136,,160,,24,,59,,83,,"24,799",,,,
2010701 KS EBT LINN,115,,751,,866,,94,,332,,426,,"125,038",,,,
2010901 KS EBT LOGAN,14,,88,,102,,13,,53,,66,,"14,920",,,,
2011101 KS EBT LYON,423,,"1,710",,"2,133",,343,,806,,"1,149",,"332,322",,,,
2011301 KS EBT MCPHERSON,153,,964,,"1,117",,144,,446,,590,,"173,515",,,,
2011501 KS EBT MARION,64,,499,,563,,55,,220,,275,,"79,134",,,,
2011701 KS EBT MARSHALL,44,,414,,458,,40,,200,,240,,"61,591",,,,
2011901 KS EBT MEADE,13,,164,,177,,8,,73,,81,,"27,506",,,,
2012101 KS EBT MIAMI,199,,"1,454",,"1,653",,174,,639,,813,,"246,222",,,,
2012301 KS EBT MITCHELL,43,,237,,280,,40,,98,,138,,"41,516",,,,
2012501 KS EBT MONTGOMERY,645,,"3,237",,"3,882",,553,,"1,447",,"2,000",,"572,672",,,,
2012701 KS EBT MORRIS,35,,308,,343,,28,,117,,145,,"49,427",,,,
2012901 KS EBT MORTON,19,,115,,134,,15,,47,,62,,"20,220",,,,
2013101 KS EBT NEMAHA,22,,324,,346,,19,,131,,150,,"49,745",,,,
